Nationality,Fee
England,50.00
Scotland,250.00
Scotland,600.00
England,750.00
England,1200.00
England,1750.00
England,3300.00
Scotland,5000.00
England,10000.00
England,24500.00
England,25000.00
England,40000.00
Scotland,50000.00
England,60000.00
Scotland,130000.00
Republic of Ireland,175000.00
England,250000.00
England,350000.00
England,500000.00
England,1500000.00
Wales,2500000.00
England,7000000.00
Netherlands,15250000.00
England,25000000.00
Portugal,80000000.00
